Nama;Kegiatan;Kecamatan;Wilayah;Kategori;lat;lng
Jasa Online Shopee;terima pesanan konsomen menurut kebutuhan cari kemas kirim ..konsumen liwan online;Surakarta;Surakarta;Surakarta;-7.5781017;110.84134
Katering Makanan;Membuat dan menjual lonthong;Surakarta;Surakarta;Surakarta;-7.5860497;110.8355022
Warung Mas Rendy;cari bahan ;Surakarta;Surakarta;Surakarta;-7.55003;110.838443
Pabrik Tahu;proses pengolahan;Surakarta;Surakarta;Surakarta;-7.5508547;110.8382357
Handicraft Mas Nunung;cari bahan ;Surakarta;Surakarta;Surakarta;-7.5439035;110.838279
Jahit Fashion;terima konsomen  kain  textil ulur potong jahit  di obras kasih kancing dsb. jadi konsumen;Surakarta;Surakarta;Surakarta;-7.5790508;110.8418047
Kain Lukis Dani'S Art;Menjual dan membuat kain lurik lukis,jilbab lukis,kaos lukis,tas lukis.Juga menerima jasa lukisan.;Surakarta;Surakarta;Surakarta;-7.5373137;110.8235039
Dina Risol;membuat makanan risol mayones ;Surakarta;Surakarta;Surakarta;-7.5693976;110.8264706
Koesuma Snack Box;menjual makanan;Surakarta;Surakarta;Surakarta;-7.5716399;110.846113
Warung Minum Mbak Watik;menjual aneka minuman di pasar;Surakarta;Surakarta;Surakarta;-7.5752397;110.82607009972222
Warung Makan Bu Yuni;menjual makanan di pasar;Surakarta;Surakarta;Surakarta;-7.575295299722223;110.82604019972223
Sate Solo;menjual sate;Surakarta;Surakarta;Surakarta;-7.5714439;110.8458548
Jasa Sumur Bor;membuat sumur bor;Surakarta;Surakarta;Surakarta;-7.5555552;110.7853205
Vino Decoration;membuat dekorasi pesta dari rumah;Surakarta;Surakarta;Surakarta;-7.5484832;110.8052731
Farello Cake;membuat aneka roti;Surakarta;Surakarta;Surakarta;-7.5703025;110.8273171
Nasi Bandeng Mbah Rubi;membuat nasi bungkus Bandeng dan oseng;Surakarta;Surakarta;Surakarta;-7.5698701;110.8272692
Aneka Snack;membuat sosis Basah dan aneka snack;Surakarta;Surakarta;Surakarta;-7.5698695;110.8272835
Ikan Hias Agung Aquarium;menjual ikan hias dan perlengkapan;Surakarta;Surakarta;Surakarta;-7.5549952;110.8314068
Toko Kelontong Ganesa;menjual aneka sembako;Surakarta;Surakarta;Surakarta;-7.5550009;110.8313946
The Braggapel;membeli secara online setelah itu di distribusikan ke customer secara COD, datang ke rumah atau di kirim ke ekspedisi ;Surakarta;Surakarta;Surakarta;-7.54002;110.8412142
Warung Makan Obor Barokah;Menjual makanan Jawa seperti timlo pecel soto dll;Surakarta;Surakarta;Surakarta;-7.5729201;110.8237114
Pak Giyo Ternak;menjual ayam potongan;Surakarta;Surakarta;Surakarta;-7.5500391;110.8487231
Warung Makan Pak Dalimin;menjual masakan matang;Surakarta;Surakarta;Surakarta;-7.5524855;110.8502159
Rm Bethani;menjual makanan dan minuman;Surakarta;Surakarta;Surakarta;-7.551779745794118;110.81858248550976
Tahu Kupat Agus;menjual tahu kupat;Surakarta;Surakarta;Surakarta;-7.551779745794118;110.81858248550976
Wedangan Pasar Gremet;Wedangan;Surakarta;Surakarta;Surakarta;-7.5584102;110.8027961
Point Laundry;Laundry pakaian;Surakarta;Surakarta;Surakarta;-7.5586231;110.8029258
Warung Makan Maranatha;menjual aneka makanan;Surakarta;Surakarta;Surakarta;-7.557430555555555;110.8022888888889
Warung Makan Har Top;menjual aneka makanan;Surakarta;Surakarta;Surakarta;-7.5552335;110.8012575
Mie Ayam Bakso Pelajar;menjual mie ayam bakso;Surakarta;Surakarta;Surakarta;-7.5557957;110.8019679
Al Firdaus Collection;menjual oleh oleh khas solo;Surakarta;Surakarta;Surakarta;-7.5557957;110.8019679
