Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng;;
Jasa Online Shopee;terima pesanan konsomen menurut kebutuhan cari kemas kirim ..konsumen liwan online;Pasar Kliwon;Sawahan Sangkrah;Lain-lain;-7.5781017;110.84134;;
Katering Makanan;Membuat dan menjual lonthong;Pasar Kliwon;Semanggi;Kuliner;-7.5860497;110.8355022;;
Warung Mas Rendy;cari bahan ;Banjarsari;Krajan;Lain-lain;-7.55003;110.838443;;
Pabrik Tahu;proses pengolahan;Banjarsari;Krajan;Kuliner;-7.5508547;110.8382357;;
Handicraft Mas Nunung;cari bahan ;Banjarsari;Krajan ;Digital;-7.5439035;110.838279;;
Jahit Fashion;terima konsomen  kain  textil ulur potong jahit  di obras kasih kancing dsb. jadi konsumen;Pasar Kliwon;Sawahan Sangkrah;Fashion;-7.5790508;110.8418047;;
Kain Lukis Dani'S Art;Menjual dan membuat kain lurik lukis,jilbab lukis,kaos lukis,tas lukis.Juga menerima jasa lukisan.;Banjarsari;Bonoloyo Rt 003 Rw 010 Banjarsari;Kriya;-7.5373137;110.8235039;;
Dina Risol;membuat makanan risol mayones ;Pasar Kliwon;Kampungbaru ;Kuliner;-7.5693976;110.8264706;;
Koesuma Snack Box;menjual makanan;Pasar Kliwon;Kampung Sewu;Kuliner;-7.5716399;110.846113;;
Warung Minum Mbak Watik;menjual aneka minuman di pasar;Pasar Kliwon;Pasar Klewer Lantai 4 Blok H8;Kuliner;-7.5752397;110.82607009972222;;
Warung Makan Bu Yuni;menjual makanan di pasar;Pasar Kliwon;Pasar Klewer Lantai 4 Blok R39;Kuliner;-7.575295299722223;110.82604019972223;;
Sate Solo;menjual sate;Pasar Kliwon;Kampung Sewu;Kuliner;-7.5714439;110.8458548;;
Jasa Sumur Bor;membuat sumur bor;Laweyan;Jajar;Lain-lain;-7.5555552;110.7853205;;
Vino Decoration;membuat dekorasi pesta dari rumah;Banjarsari;Jl. Kahuripan Barat Ii No 16;Desain;-7.5484832;110.8052731;;
Farello Cake;membuat aneka roti;Pasar Kliwon;Kampungbaru ;Kuliner;-7.5703025;110.8273171;;
Nasi Bandeng Mbah Rubi;membuat nasi bungkus Bandeng dan oseng;Pasar Kliwon;Kampung Baru ;Kuliner;-7.5698701;110.8272692;;
Aneka Snack;membuat sosis Basah dan aneka snack;Pasar Kliwon;Kampungbaru ;Kuliner;-7.5698695;110.8272835;;
Ikan Hias Agung Aquarium;menjual ikan hias dan perlengkapan;Banjarsari;Bibis Kulon;Lain-lain;-7.5549952;110.8314068;;
Toko Kelontong Ganesa;menjual aneka sembako;Banjarsari;Bibis Kulon ;Lain-lain;-7.5550009;110.8313946;;
The Braggapel;membeli secara online setelah itu di distribusikan ke customer secara COD, datang ke rumah atau di kirim ke ekspedisi ;Jebres;Jl. Rinjani Dalam 4/2 Rt 05 Rw 19 Mojosongo Jebres Surakarta ;Lain-lain;-7.54002;110.8412142;;
Warung Makan Obor Barokah;Menjual makanan Jawa seperti timlo pecel soto dll;Pasar Kliwon;Jl. Cakra I No.20 ;Kuliner;-7.5729201;110.8237114;;
Pak Giyo Ternak;menjual ayam potongan;Jebres;Sabranglor ;Lain-lain;-7.5500391;110.8487231;;
Warung Makan Pak Dalimin;menjual masakan matang;Jebres;Sabrang Lor Rt 03/08 Mojosongo ;Kuliner;-7.5524855;110.8502159;;
Rm Bethani;menjual makanan dan minuman;Banjarsari;Kios Terminal Tirtonadi;Kuliner;-7.551779745794118;110.81858248550976;;
Tahu Kupat Agus;menjual tahu kupat;Banjarsari;Kios Terminal Tirtonadi;Kuliner;-7.551779745794118;110.81858248550976;;
Wedangan Pasar Gremet;Wedangan;Banjarsari;Pasar Bangunharjo;Kuliner;-7.5584102;110.8027961;;
Point Laundry;Laundry pakaian;Banjarsari;Pasar Bangunharjo;Lain-lain;-7.5586231;110.8029258;;
Warung Makan Maranatha;menjual aneka makanan;Laweyan;Jl. Srikatan 2;Kuliner;-7.557430555555555;110.8022888888889;;
Warung Makan Har Top;menjual aneka makanan;Banjarsari;Jl. Gremet;Kuliner;-7.5552335;110.8012575;;
Mie Ayam Bakso Pelajar;menjual mie ayam bakso;Banjarsari;Jl. Gremet, Manahan, Banjarsari;Kuliner;-7.5557957;110.8019679;;
Al Firdaus Collection;menjual oleh oleh khas solo;Banjarsari;Kios Terminal Tirtonadi;Fashion;-7.5557957;110.8019679;;
Warung Tarni;penjualan makanan dan minuman ;Pasar Kliwon;Kampung Sewu ;Kuliner;-7.572864;110.8409416;;
Mihun Bu Ndari;menjual bestik, kreni balado, mihun;Pasar Kliwon;Kampung Sewu ;Lain-lain;-7.5717895;110.8416945;;
Produksi Tempe Bu Tumirah;Memproduksi tempe kedelai;Jebres;Pucangsawit;Kuliner;-7.5657175;110.8558936;;
Kino Laundry;Melayani jasa laundry;Jebres;Pucangsawit;Lain-lain;-7.5664678;110.8554995;;
Laundry Lestari;laundry pakaian;Pasar Kliwon;Mojo;Lain-lain;-7.5919769;110.8285012;;
Toko Kelontong Roo;berjualan;Serengan ;Joyotakan ;Lain-lain;-7.5927571;110.8202479;;
Wedangan Mas Didik;warung wedangan;Pasar Kliwon;Mojo;Kuliner;-7.5912428;110.8281885;;
Penjahit Aisa;menjahit pakaian;Pasar Kliwon;Mojo;Fashion;-7.5915527;110.8280108;;
Penjahit Sri Lestari;konveksi;Pasar Kliwon;Mojo;Fashion;-7.5918618;110.8277692;;
Nova Water;Menjual Air Mineral dirumah;Pasar Kliwon;Mojo;Lain-lain;-7.5867046;110.8321019;;
Nasi Kuning Bu Djoko;Menjual Nasi Kuning dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5860118;110.8321396;;
Warung Makan Bu Ali;Menjual Nasi Krawu, Nasi Pecel dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5859172;110.8321887;;
Pembuatan Arem Arem, Lemper Bu Inem;Membuat arem-arem, lemper dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5863714;110.8324167;;
Toko Kelontong Bu Inem;Menjual Snack, sembako, minuman ;Pasar Kliwon;Mojo;Lain-lain;-7.5863778;110.8325428;;
Jual Beli Rosok (Onderdil);Menjual Barang Bekas dirumah;Pasar Kliwon;Mojo;Lain-lain;-7.585983;110.832256;;
Masndut Steak And Rice;menjual steak, nasi goreng, mie goreng ;Pasar Kliwon;Mojo;Kuliner;-7.5860475;110.8321745;;
Soto Dan Sop Sip Masndut;Menjual Nasi Soto, SOP, Sayur di rumah;Pasar Kliwon;Mojo;Kuliner;-7.5859394;110.8321972;;
Warung Lontong Opor Bu Tinuk;Menjual Lontong Opor di rumah;Pasar Kliwon;Mojo;Kuliner;-7.5862686;110.831993;;
Dian Cell;menyediakan makanan khas gado gado, lotek dan rujak,selat;Laweyan;Tegalayu;Kuliner;-7.5677405;110.8007433;;
Warung Makan Gado Gado;;Laweyan;Tegalayu;Kuliner;-7.5722116;110.8038537;;
Nasi Goreng Pak Yusup;jualan mie godog dan goreng;Pasar Kliwon;Mojo;Kuliner;-7.5896882;110.8322147;;
Wedangan Mojopitu;menjusl wedangan;Pasar Kliwon;Mojo;Kuliner;-7.5892035;110.8321397;;
Healthy Juice;menjual es juice;Pasar Kliwon;Mojo;Kuliner;-7.5892033;110.8321394;;
Perkedel Mbak Parti;Membuat makanan perkedel dirumah;Pasar Kliwon;Mojo;Kuliner;-7.589004;110.8313589;;
Martabak Bu Ijah Basyadi;Membuat Martabak dirumah ;Pasar Kliwon;Mojo;Kuliner;-7.5891799;110.8318118;;
Usaha Sayur Mayur Bu Suminah;Menjual Sayur Mayur;Pasar Kliwon;Mojo;Lain-lain;-7.5892498;110.8319966;;
Alinea Stationery;Menjual alat tulis di toko;Pasar Kliwon;Mojo;Lain-lain;-7.5889269;110.8326068;;
Toko Kelontong Pak Guntur;Menjual Snack, sembako, minuman;Pasar Kliwon;Mojo;Lain-lain;-7.5883436;110.8322653;;
Kerupuk Rambak Go Krezzz;Membuat krupuk rambak dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5883393;110.8322607;;
Toko Kelontong Bu Mardiyah;Menjual Snack, sembako dan minuman ;Pasar Kliwon;Mojo;Lain-lain;-7.5883733;110.8331738;;
Toko Kelontong Hartanto;Menjual sembako, Snack, minuman ;Pasar Kliwon;Mojo;Lain-lain;-7.5883712;110.8331725;;
Tahu Crispy Bu Parmi;Menjual Tahu Crispy di Rumah;Pasar Kliwon;Mojo;Kuliner;-7.5879879;110.8326174;;
La Beauty Salon;Perawatan Rambut dan Muka;Pasar Kliwon;Mojo;Lain-lain;-7.5880402;110.8327337;;
Toko Kelontong Bu Siti;Menjual Sembako, Snack, minuman dirumah;Pasar Kliwon;Mojo;Lain-lain;-7.5881614;110.8328624;;
Wahyu Aji Cell;Menjual pulsa, kartu perdana dan voucher dirumah;Pasar Kliwon;Mojo;Digital;-7.5880579;110.8327331;;
Mira Reklame;membuat Papan nama, papan reklame, vandel, Piala, Stempel dirumah;Pasar Kliwon;Mojo;Lain-lain;-7.587996;110.8326889;;
Toko Kelontong Siti Fatimah;Menjual sembako, snack dan minuman;Pasar Kliwon;Mojo;Lain-lain;-7.5879308;110.8326333;;
Toko Kelontong Pak Budi;Menjual Snack, sembako, minuman dirumah;Pasar Kliwon;Mojo;Lain-lain;-7.5880685;110.832718;;
Sosis Ayam Pak Sulistyo;Membuat Sosis Goreng ;Pasar Kliwon;Mojo;Kuliner;-7.5895733;110.8312637;;
Usaha Mainan Anak;jualan mainan anak;Pasar Kliwon;Mojo;Lain-lain;-7.5874209;110.8306533;;
Penjahit Kartini;menjahit pakaian ;Pasar Kliwon;Mojo;Fashion;-7.5874154;110.8306112;;
Kue Konde Siti Chotimah;Membuat roti konde dirumah ;Pasar Kliwon;Mojo;Kuliner;-7.5886779;110.8301883;;
Toko Kelontong Pak Ngatino;menjual sembako, Snack dan minuman;Pasar Kliwon;Mojo;Lain-lain;-7.5886821;110.83019;;
Usaha Kacang Emping Goreng;Menjual Kacang, Emping goreng dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5881649;110.8304468;;
Telur Asin Pak Ratno;Membuat telur asin dirumah ;Pasar Kliwon;Mojo;Kuliner;-7.5881646;110.8304257;;
Soto Ayam Sweegerr;Menjual nasi soto dirumah;Pasar Kliwon;Mojo;Kuliner;-7.588131;110.8305184;;
Batik Barat Bu Tri;Menjual daster, mukena dirumah;Pasar Kliwon;Mojo;Fashion;-7.5881388;110.830505;;
Permak Pakaian Baju /Celana;terima permak pakaian baju celana. jahit ;Pasar Kliwon;Sawahan Sangkrah;Fashion;-7.5790525;110.8418112;;
Jasa Jahit Konveksi;ambil jahitan  ke pabrik jahit ..setor;Pasar Kliwon;Sawahan Sangkrah;Fashion;-7.5790533;110.8418109;;
Warung Klontong;menjual kebutuhan pokok /sembako di warung;Pasar Kliwon;Sawahan Sangkrah;Lain-lain;-7.5796658;110.8416577;;
Brambang Bawang Bu Mala;Menjual bawang merah dan bawang putih;Banjarsari;Pasar Legi;Lain-lain;-7.5633707;110.8245582;;
Toko Sembako Mbak Widy;MENJUAL SEMBAKO DAN ANEKA ES JUS;Pasar Kliwon;Semanggi;Lain-lain;-7.5824422;110.8378309;;
Tahu Kupat Pak Agus;menjual tahu kupat;Banjarsari;Kios Terminal Tirtonadi;Kuliner;-7.551779745794118;110.81858248550976;;
Ayam Tora;menjual makanan;Laweyan;Panularan;Kuliner;-7.495652;110.8066681;;
Lamongan Bu Srikadi;menjual makanan lamongan;Jebres;Pucangsawit;Kuliner;-7.5668265;110.8566751;;
Penjahit Bh Kw Suroso;Menjahit;Laweyan;Panularan;Fashion;-7.4958526;110.8068802;;
Penjahit Anik;menjahit;Laweyan;Panularan;Fashion;-7.4956285;110.8065684;;
Papeda Mbak Sisri;Membuat Papeda dirumah;Pasar Kliwon;Mojo;Kuliner;-7.5853793;110.8320087;;
Jenang Lemu Pak Agus;menjual aneka masakan dan gorengan;Pasar Kliwon;Gurawang ;Kuliner;-7.5833764;110.8267995;;
Warung Makan Gading;menjual aneka masakan;Pasar Kliwon;Gurawan;Kuliner;-7.5833686;110.8269616;;
Wedangan Pak Dhak Dhuk;menjual masakan;Pasar Kliwon;Mertodranan ;Kuliner;-7.5791611;110.8353961;;
Hiden Barbeshop;memotong rambut;Pasar Kliwon;Wiropaten;Lain-lain;-7.5802442;110.8312289;;
Bakso Daging Sapi Goyang Lidah;menjual bakso;Pasar Kliwon;Mertodranan;Kuliner;-7.5807762;110.8320945;;
Sosis Goreng Mbak Tias;Membuat Martabak, Sosis Goreng;Pasar Kliwon;Mojo;Kuliner;'-7.5853608;110.8323813;;
Snak Mbah Wir;menjual  makanan tradisional;Pasar Kliwon;Joyodiningratan Rt 003 Rw 003 Pasar Kliwon Surakarta ;Kuliner;-7.5789032;110.8242887;;
Sosis Basah ,Perkenalkan Bu Sumini;menjual sosis basah;Pasar Kliwon;Sontosuman Rt 003 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5790173;110.8240944;;
Fatwa Modiste;jasa penjahit baju;Pasar Kliwon;Sontosuman Rt 003 Rw 003 Baluwarti Pasar Kliwon Surakarta ;Fashion;-7.5789636;110.8240811;;
